img_data,img_link,link,name,num_ratings,price,stars
https://images-na.ssl-images-amazon.com/images/I/412b7W2X7jL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/412b7W2X7jL._AC_US160_.jpg,https://www.amazon.com/Fred-KOI-Light-Up-Bath-Goldfish/dp/B001ARYDFA,Fred KOI TOY Light-Up Bath Goldfish,581.0,14.99,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51cvn9RmJ+L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51cvn9RmJ+L._AC_US160_.jpg,https://www.amazon.com/aGreatLife-First-Stacking-Bath-Cups/dp/B01MQCKDKM,aGreatLife Stacking Cups Bath Toys for Toddlers: My First Under The Sea Animal Stacker with Holes for Sprinkling Water and Sifting Sand - Includes Fun and Brightly Colored Numbers and Fruits Stickers,204.0,11.99,4.8 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41UBjA5R5AL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UBjA5R5AL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-Thomas-Friends-TrackMaster-Tunnel/dp/B06XXVFW4J,"Fisher-Price Thomas & Friends TrackMaster, Tunnel Blast Set",17.0,11.95,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51sbUsPdFjL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51sbUsPdFjL._AC_US160_.jpg,https://www.amazon.com/Teething-Necklace-Babies-Unisex-Relief/dp/B07BNBN3Y2,Raw Amber Teething Necklace for Babies (Unisex) Teething Pain Relief - Certified Genuine Baby Baltic Amber Necklace- Tri-Color,46.0,17.99,4.3 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51UZw8-0X0L._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51UZw8-0X0L._AC_US160_.jpg,https://www.amazon.com/Super-Wings-Transform-Bots-Figures/dp/B072161TTQ,"Super Wings - Transform-a-Bots 4 Pack | Flip, Todd, Agent Chase, Astra | Toy Figures | 2"" Scale",79.0,20.09,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51UNI0vADwL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51UNI0vADwL._AC_US160_.jpg,https://www.amazon.com/HOMOFY-Electronic-Airplane-Learning-Educational/dp/B07FKZK5WX,HOMOFY Baby Toys Electronic Airplane Toys with Lights & Music Best Kids Early Learning Educational Toys for Toddlers Boys and Girls 1 2 3 4 5 Year Old (1),41.0,29.99,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51RF285hKkL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51RF285hKkL._AC_US160_.jpg,https://www.amazon.com/Infantino-Tag-Along-Travel-Pals/dp/B00NOQYZI0,Infantino Tag Along Travel Pals,197.0,12.99,4.7 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/41wM7Ca+ofL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wM7Ca+ofL._AC_US160_.jpg,https://www.amazon.com/Bright-Starts-Rock-Glow-Unicorn/dp/B01C5L5EHU,Bright Starts Rock & Glow Unicorn Toy,96.0,19.99,4.5 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/518o9yMzSvL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/518o9yMzSvL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-DJC81-Pink-Petals-Jumperoo/dp/B016XS2O7O,Fisher-Price Pink Petals Jumperoo,284.0,92.96,4.6 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/51WiRQT0fYL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/51WiRQT0fYL._AC_US160_.jpg,https://www.amazon.com/Paw-Patrol-Action-Figure-Rocky/dp/B01G9HWYRE,"Paw Patrol Action Pack Pups Figure Set, 3pk, Skye, Zuma, Rocky",87.0,12.45,4.4 out of 5 stars
https://images-na.ssl-images-amazon.com/images/I/312RbsJSwTL._AC_US160_.jpg,https://images-na.ssl-images-amazon.com/images/I/312RbsJSwTL._AC_US160_.jpg,https://www.amazon.com/Fisher-Price-FGY72-Corn-Popper-Blue/dp/B077HX3NDH,"Fisher-Price FGY72 Corn Popper, Blue",411.0,12.99,4.2 out of 5 stars
